id;question;expected_answer;context_hint;category;difficulty
11;Welche Bachelorstudiengänge der WiSo-Fakultät haben ein eigenes Modulhandbuch unter PO 2021?;Ein Modulhandbuch ist jeweils für folgende Bachelorstudiengänge aufgeführt: Betriebswirtschaftslehre, Volkswirtschaftslehre, Management, Economics and Social Sciences, Sozialwissenschaften, Gesundheitsökonomie, Wirtschaftsinformatik sowie Lehramt am Berufskolleg I.;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/bachelor-po-2021;Modulhandbuch/PO;medium
12;Wo finden Bachelorstudierende die zugehörigen Prüfungsordnungen der PO 2021?;Die gemeinsame Prüfungsordnung der WiSo-Studiengänge sowie die zusätzliche Bachelorprüfungsordnung sind über den verlinkten Download-Bereich des Prüfungsamtes auf folgender Seite erreichbar: https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/bachelor-po-2021;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/bachelor-po-2021;Modulhandbuch/PO;easy
13;Für welche Studierendengruppe gelten die Dokumente im Rahmen der Master PO 2021?;Die Master-Dokumente gelten für Studierende der Prüfungsordnung 2021, die sich ab dem Wintersemester 2021/22 in einen der aufgeführten Masterstudiengänge eingeschrieben haben.;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/master-po-2021;Modulhandbuch/PO;easy
14;Nenne einige der Masterstudiengänge für die im Rahmen der Master PO 2021 Modulhandbücher bereitgestellt werden.;Es werden u. a. Module für folgende Programme aufgeführt: M.Sc. International Management (CEMS MIM), mehrere Spezialisierungen im M.Sc. Business Administration (z. B. Finance, Marketing, Supply Chain Management), M.Sc. Business Analytics and Econometrics, M.Sc. Economics, M.Sc. Economic Research, M.Sc. Gesundheitsökonomie, M.Sc. Information Systems, Master-Programme in Politikwissenschaft sowie zwei Soziologie-Master und Wirtschaftspädagogik.;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/master-po-2021;Modulhandbuch/PO;medium
15;Wo finden Masterstudierende die Masterprüfungsordnung für die WiSo-Studiengänge?;Die gemeinsame Prüfungsordnung der WiSo-Masterstudiengänge sowie eine zusätzliche Masterprüfungsordnung sind über den verlinkten Download-Bereich des Prüfungsamtes auf folgender Seite abrufbar: https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/master-po-2021;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/master-po-2021;Modulhandbuch/PO;easy
16;Wie wird der Nutzen eines wirtschafts- oder sozialwissenschaftlichen Bachelorabschlusses an der WiSo-Fakultät beschrieben?;Ein Bachelorabschluss an der WiSo-Fakultät schafft laut Beschreibung eine exzellente Grundlage für den individuellen Karriereweg – unabhängig davon, ob man direkt in den Beruf einsteigt, ein Trainee-Programm wählt oder einen weiterführenden Master anschließt.;https://wiso.uni-koeln.de/de/studium/bachelor;Bachelor-Studium;easy
17;Welche zentralen Bachelorstudiengänge der WiSo-Fakultät werden auf der Übersichtsseite genannt?;Aufgeführt sind insbesondere die Bachelorprogramme in Betriebswirtschaftslehre, Volkswirtschaftslehre, Sozialwissenschaften, Management, Economics & Social Sciences, Wirtschaftsinformatik, Gesundheitsökonomie sowie der Lehramts-Bachelor.;https://wiso.uni-koeln.de/de/studium/bachelor;Bachelor-Studium;easy
18;Was macht den Standort Köln laut Bachelorseite für Studierende attraktiv?;Köln wird als Stadt beschrieben, die für Lebensfreude, Toleranz und Weltoffenheit steht. Die Region bietet vielfältige Kontakte zur beruflichen Praxis und einen Branchenmix mit u. a. Medien- und Kreativwirtschaft, Logistik und Life Sciences mit wichtiger Rolle auf Bundesebene.;https://wiso.uni-koeln.de/de/studium/bachelor;Standort;medium
19;Was ist „Chat with Paco“ und wozu dient dieses Angebot?;„Paco“ ist eine KI-gestützte Chat-Beratung, die rund um die Uhr faktenbasierte Fragen zum Wunschstudiengang, etwa zu Zulassungsverfahren oder allgemeinen Fragen zur Universität, beantwortet.;https://wiso.uni-koeln.de/de/studium/bachelor;Services/Info;easy
20;Welche Verbundstudiengänge mit WiSo-Beteiligung werden beispielhaft genannt und welche Rolle übernimmt die WiSo-Fakultät dort?;Es werden u. a. Verbundstudiengänge der Philosophischen Fakultät wie Regionalstudien China, Lateinamerika, Ost- und Mitteleuropa sowie Medienwissenschaft erwähnt. Die WiSo-Fakultät stellt dort Wahlpflichtfächer z. B. in Betriebswirtschaftslehre, Sozialwissenschaften, Volkswirtschaftslehre oder Medienmanagement und -ökonomie bereit.;https://wiso.uni-koeln.de/de/studium/bachelor;Verbundstudiengänge;hard
21;Welche Rolle kann die WiSo-Fakultät im Bachelor Geographie übernehmen und welche zusätzliche Bedingung gilt dort?;Im B.Sc. Geographie müssen zwei Nebenfächer gewählt werden, wobei auch BWL, VWL oder Sozialwissenschaften der WiSo-Fakultät möglich sind. Für diese drei Nebenfächer ist jedoch ein Motivationsschreiben erforderlich, das an die im Geographie-Hinweis genannte Kontaktperson gerichtet werden muss – nicht an den WiSo Student Service Point.;https://wiso.uni-koeln.de/de/studium/bachelor;Verbundstudiengänge;hard
22;Welche Bewerbungsfristen gelten für das erste Fachsemester in den Bachelorstudiengängen der WiSo-Fakultät und welche Programme starten auch im Sommersemester?;Für das Wintersemester endet die Bewerbungsfrist regulär am 15. Juli, für das Sommersemester am 15. Januar. Ein Studienstart im Sommersemester ist zusätzlich nur in den Bachelorstudiengängen Betriebswirtschaftslehre und Volkswirtschaftslehre möglich.;https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Bewerbung Bachelor;medium
23;Wo finden internationale Studieninteressierte Informationen zum Bewerbungsverfahren für einen WiSo-Bachelor?;"Internationale Studieninteressierte sollen sich vor der Bewerbung beim International Office der Universität zu Köln über das jeweilige Bewerbungsverfahren informieren; der entsprechende Link ist auf der Bachelor-Bewerbungsseite hinterlegt.";https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Bewerbung Bachelor;easy
24;Was ist für eine Bewerbung in ein höheres Fachsemester eines Bachelorstudiengangs an der WiSo-Fakultät zwingend erforderlich?;Für die Bewerbung in ein höheres Fachsemester werden zwei Bescheinigungen benötigt: ein Nachweis über den Status Ortswechsel/Quereinstieg und eine Fachsemestereinstufung. Beide stellt das Prüfungsamt der WiSo-Fakultät auf Antrag aus.;https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Bewerbung Bachelor;medium
25;Unter welchen Voraussetzungen ist ein Studium an der WiSo-Fakultät auch ohne Abitur möglich?;"Die Seite stellt klar, dass beruflich Qualifizierte ohne Abitur unter bestimmten Voraussetzungen studieren können; je nach beruflicher Vorbildung unterscheiden sich die Zugangswege. Konkrete Informationen zu Bewerbergruppen und Verfahren sind über die verlinkten Seiten der zentralen Verwaltung abrufbar.";https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Bewerbung Bachelor;hard
26;An wen können sich Studieninteressierte wenden, wenn sie noch Fragen zu WiSo-Bachelorstudiengängen und Bewerbungsverfahren haben?;Bei offenen Fragen können sich Interessierte an den WiSo Student Service Point wenden – entweder persönlich, telefonisch oder über das verlinkte Anfragenformular.;https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Services/Info;easy
27;Wann starten die Masterprogramme der WiSo-Fakultät und in welchem Zeitraum findet die Bewerbung statt?;Alle Masterprogramme der WiSo-Fakultät beginnen jährlich zum Wintersemester. Die Bewerbung erfolgt daher jeweils Anfang bis Mitte des Jahres vor Studienstart.;https://wiso.uni-koeln.de/de/studium/bewerbung/master;Bewerbung Master;easy
28;Welche drei zentralen Bereiche („Wie bewerbe ich mich?“, Bewerbungsportal, FAQs) sind auf der Master-Bewerbungsseite besonders hervorgehoben?;Es werden drei Kernrubriken verlinkt: „Ihre Bewerbung – Schritt für Schritt“, das „Bewerbungsportal KLIPS“ sowie „FAQs & Zulassungsordnungen“ mit weiterführenden Informationen zu Anforderungen und Prozessen.;https://wiso.uni-koeln.de/de/studium/bewerbung/master;Bewerbung Master;medium
29;Was ist der „Master-Virtuelle Infotag“ und welches Ziel verfolgt er laut Master-Bewerbungsseite?;Der Master-Virtuelle Infotag ist ein Online-Event (genannter Termin 26. November, 17:00–18:30 Uhr, via Zoom, Sprache Englisch), das Einblicke in Studium und Studierendenleben sowie in Bewerbungs- und Zulassungsprozesse an der WiSo-Fakultät geben soll.;https://wiso.uni-koeln.de/de/studium/bewerbung/master;Bewerbung Master;medium
30;Wo finden Interessierte studiengangsspezifische Informationen zu einzelnen WiSo-Masterprogrammen, etwa zum Master Information Systems?;Am Ende der Master-Bewerbungsseite sind die einzelnen Masterstudiengänge jeweils mit eigenen Informationsseiten verlinkt, darunter auch eine Seite speziell zum Master Information Systems.;https://wiso.uni-koeln.de/de/studium/bewerbung/master;Bewerbung Master;easy
31;Welche Eckdaten (Abschluss, Dauer, Credits, Sprache, Internationales) werden zum Master Information Systems genannt?;Der Master Information Systems schließt mit einem Master of Science ab, dauert vier Semester in Vollzeit und umfasst 120 ECTS. Die Unterrichtssprache ist überwiegend Englisch, einzelne Kurse werden auf Deutsch angeboten. Es bestehen optionale internationale Elemente wie Auslandssemester und Summer Schools.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;MIS-Überblick;easy
32;Worum geht es inhaltlich im Studiengang Master Information Systems?;Das Programm behandelt die interdisziplinäre Disziplin der Wirtschaftsinformatik an der Schnittstelle von Betriebswirtschaftslehre und Informatik. Im Fokus stehen Konzeption, Entwicklung und Anwendung von Informationssystemen in Unternehmen, Verwaltung und zunehmend im privaten Bereich.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;MIS-Inhalt;medium
33;Welche Bewerbungsfrist ist im Überblick für den Master Information Systems angegeben?;Im Überblick ist eine Bewerbungsfrist zum 15.06. genannt.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;MIS-Bewerbung;easy
34;Welche zentralen Kompetenzen und Themen werden für den Master Information Systems hervorgehoben?;Genannt werden u. a. theoretische und methodische Grundlagen für Themen wie Data Science, digitale Transformation und Innovation, Prozesse und Geschäftsmodelle sowie Lösungen für eine nachhaltige Gesellschaft. Außerdem wird die Ausbildung im interdisziplinären Bereich der Wirtschaftsinformatik betont, die die gefragte Fähigkeit vermittelt, BWL und Informatik zu verbinden.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;MIS-Inhalt;medium
35;Für welche Art von Bewerber:innen ist der Master Information Systems besonders geeignet?;Geeignet ist das Programm für Bewerber:innen mit Bachelorabschluss in Informatik, Wirtschaftsinformatik, Wirtschaftswissenschaften, Betriebswirtschaft oder verwandten Fächern, die über technische Fähigkeiten in Mathematik/Statistik und Informatik (insbesondere Programmierung) verfügen, gerne in internationalen, interkulturellen Teams arbeiten und bereit sind, den nächsten Karriereschritt als breit aufgestellte Wirtschaftsinformatiker:innen zu gehen.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;MIS-Zielgruppe;medium
36;Von welchem Institut wird der Master Information Systems getragen und welche wissenschaftlichen Auszeichnungen werden dort hervorgehoben?;Der Studiengang wird vom Kölner Institut für Wirtschaftsinformatik (CIIS) ausgerichtet. Laut Beschreibung zählen mehrere Professoren des CIIS im WirtschaftsWoche-Ranking zu den Top 5 % der Wirtschaftsforscher:innen im deutschsprachigen Raum, und das CIIS belegt im AIS-Ranking 2022 Spitzenpositionen (Platz 1 in Deutschland, Top 10 in Europa, Top 100 weltweit).;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;MIS-Ranking;hard
37;Wie wird der Praxisbezug der WiSo-Programme im Kontext des Master Information Systems beschrieben?;Die Fakultät hebt ihre langjährige Erfahrung in der Zusammenarbeit mit Unternehmen und Gastdozent:innen aus verschiedenen Berufsfeldern hervor. Diese bringen aktuelle Branchenerfahrung in das Programm ein, sodass Inhalte Praxis und Theorie eng verbinden und reale Entwicklungen widerspiegeln.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;Praxisbezug;medium
38;Welche Beratungsangebote für Studieninteressierte werden im Zusammenhang mit dem Master Information Systems genannt und wer koordiniert sie?;Studieninteressierte werden auf Orientierungs- und Beratungsangebote hingewiesen, die vom WiSo Student Service Point koordiniert werden und eine individuelle, auf die Bedürfnisse der Interessierten zugeschnittene Beratung bieten.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;Beratung;medium
39;Wie unterstützt der WiSo-Career-Service Studierende?;Der WiSo-Career-Service berät Studierende bei der Suche nach passenden Praktika, bei der Berufswahl und unterstützt sie in Karriereplanung und Bewerbungsprozess.;https://wiso.uni-koeln.de/de/studium/bewerbung/studium-an-der-wiso-fakultaet;Career Service;easy
40;Welche Unterlagen muss ich meiner Verifikationsagentur geben, damit sie meinen Abschluss prüfen lassen kann?;"Damit Ihre Verifikationsanfrage bearbeitet werden kann, müssen laut der WiSo-Seite zwingend folgende Unterlagen als PDF beigefügt werden: 
WiSo-Fakultät

Eine Kopie bzw. ein Scan Ihres Personalausweises oder Passes, der Unterschrift, Namen (ggf. Geburtsnamen) und Geburtsdatum enthält.

Eine von Ihnen handschriftlich unterschriebene Vollmacht.

Wichtig ist:
Die Vollmacht muss

den Namen der anfragenden Agentur enthalten und

explizit erlauben, dass die Daten von der Universität zu Köln an diese Stelle herausgegeben werden dürfen.

Es reicht ausdrücklich nicht aus, wenn die Vollmacht nur der Agentur die „Abfrage“ Ihrer Daten erlaubt.
Auf der Seite wird außerdem eine Vorlage für die Einwilligungserklärung als PDF zur Nutzung angeboten.";https://wiso.uni-koeln.de/de/services/verifikation-von-abschluessen;;
41;In welchem Dateiformat müssen die Unterlagen für eine Verifikationsanfrage eingereicht werden? Reicht ein Foto als JPG oder PNG?;Ausschließlich Anlagen im PDF-Format können geöffnet und bearbeitet werden können. Bitte reichen Sie dementsprechend Ihre Unterlagen als PDF ein. Reine JPG- oder PNG-Dateien entsprechen nicht den Vorgaben aund sollten vorher in ein PDF umgewandelt werden;https://wiso.uni-koeln.de/de/services/verifikation-von-abschluessen;;
42;Wie lange dauert die Bearbeitung einer Verifikationsanfrage und wann soll ich Nachfragen stellen?;die Bearbeitung von Verifikationsanfragen mehrere Wochen dauern. Daher wird ausdrücklich darum gebeten, innerhalb der ersten drei Wochen nach Versand der Unterlagen von Nachfragen abzusehen. Erst nach Ablauf dieser drei Wochen ist eine Nachfrage zum Bearbeitungsstand sinnvoll.;https://wiso.uni-koeln.de/de/services/verifikation-von-abschluessen;;
43;Was ist mit einer Verifikationsanfrage gemeint?;Eine Verifikationsanfrage ist eine Anfrage einer externen Stelle (z. B. Verifikationsagentur oder Arbeitgeber), mit der geprüft werden soll, ob du deinen Studienabschluss tatsächlich an der Wirtschafts- und Sozialwissenschaftlichen Fakultät der Universität zu Köln erworben hast. Dabei werden deine Abschlussdaten bestätigt (z. B. Art des Abschlusses, Studiengang, Abschlussdatum). Weil es sich dabei um die Weitergabe personenbezogener Daten handelt, darf eine solche Verifikation nur unter Einhaltung der datenschutzrechtlichen Vorgaben erfolgen.;https://wiso.uni-koeln.de/de/services/verifikation-von-abschluessen;;
44;An welche Stellen kann ich mich wenden, wenn ich Probleme oder Beschwerden zu meinem Studium habe?;"Du kannst dich an zwei zentrale Anlaufstellen wenden:

WiSo Student Service Point (WiSSPo)
Der WiSo Student Service Point ist die offizielle Beratungsstelle der Fakultät. Dort werden alle Anliegen von Studierenden entgegengenommen und es wird versucht, eine möglichst schnelle Lösung zu finden. Durch die Verortung im Studiendekanat und die Nähe zum WiSo-Prüfungsamt können in der Regel zügig Lösungen erzielt werden. Du kannst dein Anliegen persönlich, per E-Mail oder telefonisch einbringen, und auf Wunsch werden deine Anliegen dort auch diskret und anonym behandelt.

WiSo-Fachschaft
Alternativ kannst du dich an die WiSo-Fachschaft wenden. Dieses Angebot wird insbesondere bei persönlichen Problemen, zum Beispiel mit Lehrenden, häufig als niedrigschwelliger empfunden, weil die Anliegen dort „von Student zu Student“ entgegengenommen werden. Beide Stellen sind miteinander vernetzt, sodass bei Bedarf auch die jeweils andere Stelle in die Bearbeitung deines Anliegens einbezogen werden kann.";https://wiso.uni-koeln.de/de/services/verifikation-von-abschluessen;;
45;Was passiert, nachdem ich ein Problem beim WiSSPo gemeldet habe?;"Im WiSSPo gibt es im Wesentlichen drei Wege, wie mit deinem Problem umgegangen werden kann:

Direkte Lösung im WiSSPo
Sobald dein Problem dort eingegangen ist, wird zunächst geprüft, ob es unmittelbar in der Beratung gelöst werden kann. Das kann zum Beispiel direkt im Gespräch geschehen, indem alternative Optionen in der Studienplanung aufgezeigt werden oder sofort mit einer verantwortlichen Stelle wie dem Anrechnungszentrum Rücksprache gehalten wird. Wenn der WiSSPo nicht der richtige Ansprechpartner ist, kann dir dort auch die passende Stelle genannt werden, an die du dich wenden kannst, etwa das Studierendensekretariat.

Weiterleitung an eine zuständige Stelle
Wenn dein Anliegen nicht sofort gelöst werden kann, wird es an eine zuständige Stelle wie zum Beispiel das Prüfungsamt weitergeleitet. Dort wird nach kurzer Zeit eine Lösung erarbeitet, die dir anschließend mitgeteilt wird.

Eskalation bei grundlegenden Problemen
Handelt es sich um ein grundlegendes Problem, das nicht durch einfache Rücksprachen geklärt werden kann, wird dein Anliegen nach Absprache im Studiendekanat an höhere Stellen wie Studiendekan:in, Studienbeirat oder die Engere Fakultät weitergetragen. Nach dieser Eskalation wird dir das Ergebnis ebenfalls mitgeteilt, was in der Regel mehrere Wochen in Anspruch nimmt. Der Ablauf dieses Beschwerdewegs – von der Meldung des Problems über den WiSSPo bis hin zu Weiterleitung, Eskalation und Lösung – wird zusätzlich in einer Grafik im PDF „Beschwerdemanagement an der WiSo-Fakultät“ dargestellt.";https://wiso.uni-koeln.de/de/services/verifikation-von-abschluessen;;
46;Wie sieht der Prozess des Beschwerdemanagements an der Uni Köln (WiSo-Fakultät) aus?;"Der Prozess des Beschwerdemanagements an der WiSo-Fakultät folgt einem klar strukturierten Ablauf, der bei dir als Studierender beginnt und mit der Lösung deines Problems endet.

Ausgangspunkt: Ein Problem tritt bei dir auf
Am Anfang steht, dass bei dir als Studentin oder Student ein Problem aufgetreten ist. Das kann alles sein, was du als störend, ungerecht oder klärungsbedürftig erlebst.

Meldung an den WiSSPo
Im nächsten Schritt meldest du dein Problem an den WiSo Student Service Point (WiSSPo). Dafür stehen dir drei Wege offen: Du kannst dein Anliegen telefonisch schildern, per E-Mail zusenden oder persönlich in der Sprechstunde vorbringen. Dein Problem kann außerdem von externen Stellen wie dem International Office oder der Fachschaft an den WiSSPo herangetragen werden. In jedem Fall gilt dein Anliegen dann als beim WiSSPo eingegangen.

Bearbeitung im WiSSPo – drei mögliche Wege

Direkte Lösung im WiSSPo
In manchen Fällen kann dein Problem direkt vor Ort durch das Team des WiSSPo gelöst werden. Dann ist der Prozess an dieser Stelle abgeschlossen und dein Problem gilt als gelöst.

Weiterleitung an eine geeignetere Stelle
Wenn eine andere Stelle besser zuständig ist, wird dein Problem dorthin weitergeleitet, zum Beispiel an das Prüfungsamt oder das Studierendensekretariat. Dort wird dein Anliegen weiterbearbeitet, bis eine Lösung gefunden ist.

Weiterleitung an eine höhere Stelle (Eskalation)
Handelt es sich um ein grundsätzlicheres oder komplexeres Problem, kann es an eine höhere Stelle weitergegeben werden, etwa an den Studiendekan. Die Problemstellung wird dann an Verantwortliche oder Gremien wie Studiendekan*in, Engere Fakultät oder Studienbeirat weitergeleitet. Dort wird das Problem entweder innerhalb des Dekanats oder auf Fakultätsebene gelöst.

Abschluss: Problem wurde gelöst
Unabhängig davon, ob dein Anliegen direkt im WiSSPo, bei einer anderen Stelle oder auf höherer Ebene bearbeitet wird, endet der Prozess immer mit dem Zielzustand, dass dein Problem gelöst wurde.";https://wiso.uni-koeln.de/sites/fakultaet/bilder/studium/Service_und_Beratung/Beschwerdemanagement_WiSo.pdf;;
47;Welche Möglichkeiten habe ich als WiSo-Student:in grundsätzlich, um ins Ausland zu gehen?;Du hast an der WiSo-Fakultät eine ganze Reihe von Möglichkeiten, ins Ausland zu gehen. Dazu gehören zum einen tuition-free single-term exchanges im Rahmen von STAP Bachelor und STAP Master, zum anderen selbstorganisierte Freemover-Aufenthalte. Zusätzlich gibt es verschiedene Kurzzeitangebote, etwa WiSo@ Academic Short Programmes, das Utrecht Short Programme in Sociology sowie Summer- und Winter Schools von Partneruniversitäten. Außerdem kannst du ein Praktikum im Ausland absolvieren und es gibt weitere Optionen wie B.Sc. MES Exchange, International at home, PhD Mobility sowie Angebote im Bereich Erasmus+ & Funding;https://wiso.uni-koeln.de/de/studium/international/international-options-for-wiso-students;;
48;Welche weiteren Finanzierungsmöglichkeiten für Auslandsstudium, Forschungsaufenthalte und Praktika gibt es neben ERASMUS?;Neben ERASMUS gibt es zahlreiche weitere Möglichkeiten, finanzielle Unterstützung für Auslandsstudium, Forschungsaufenthalte und Praktika zu erhalten. Studierende und Absolvent:innen können Förderungen über verschiedene Institutionen beantragen können und nennt dazu eine Reihe empfohlener Links, zum Beispiel zu Auslands-BAföG, Stipendiendatenbanken und speziellen Förderprogrammen für Auslandsaufenthalte.;https://wiso.uni-koeln.de/de/studium/international/international-options-for-wiso-students/erasmus-funding;;
49;Was ist das „STAP Master Term Abroad“ und welche Vorteile habe ich dadurch?;Das Study Abroad Programme (STAP) im Master bietet dir die Möglichkeit, ein einzelnes Semester an einer Partneruniversität der WiSo-Fakultät zu verbringen. Du profitierst dabei von direktem Kontakt und organisatorischer Unterstützung an der Partneruni und bist dort von den Studiengebühren befreit. Außerdem kann die WiSo-Fakultät als eine der wenigen deutschen Einrichtungen mit EQUIS-Label und als einzige deutsche Mitgliedsfakultät in den Netzwerken PIM und CEMS Austauschplätze an top gerankten Universitäten weltweit anbieten.;https://wiso.uni-koeln.de/de/studium/international/international-options-for-wiso-students/stap-master-term-abroad;;
50;Nach welchen Kriterien wird entschieden, wer einen STAP-Platz bekommt?;"Die Auswahl der STAP-Teilnehmenden erfolgt auf Basis deiner Bewerbungsunterlagen. ZIB WiSo erstellt aus diesen Unterlagen ein Ranking der Bewerber:innen. Dieses Ranking ist sowohl die Grundlage dafür, ob du einen Platz bekommst, als auch dafür, welcher deiner bevorzugten Partneruniversitäten dir zugeteilt wird.

Für die genauen Auswahlkriterien wirst du auf das STAP Master Application Manual verwiesen, das im Download-Bereich der Seite zur Verfügung steht und die Kriterien ausführlich erklärt.";https://wiso.uni-koeln.de/de/studium/international/international-options-for-wiso-students/stap-master-term-abroad;;
51;Ich habe eine allgemeine Frage zu einem Auslandsaufenthalt und weiß nicht genau, an wen ich mich wenden soll. Wie nehme ich am besten Kontakt auf?;"Bei allgemeinen Fragen zum internationalen Austausch, bei denen nicht klar ist, an welche konkrete Person du dich wenden solltest, nutzt du am besten das WiSSPo-Kontaktformular. Darüber kannst du dein Anliegen schildern, und du bekommst so schnell wie möglich eine Rückmeldung. Zusätzlich besteht die Möglichkeit, einen Termin zu vereinbaren und das Team während der Sprechzeiten im WiSSPo im WiSo-Gebäude persönlich aufzusuchen; eine Übersicht über Sprechzeiten und Anreise findest du direkt auf der verlinkten WiSSPo-Webseite.";https://wiso.uni-koeln.de/de/studium/international/international-relations-center-contact;;
52;Wie lautet die Besuchsadresse des International Relations Center (ZIB WiSo)?;Die Besuchsadresse des International Relations Center (ZIB WiSo) lautet: Aachener Str. 209, 5. und 6. Etage, mit Eingang über die Richard-Strauss-Str. 1, 50931 Köln.;https://wiso.uni-koeln.de/de/studium/international/international-relations-center-contact;;
